カテゴリ,フラグ,フラグON時売上,フラグOFF時売上,売上差分,売上影響率(%),フラグON日数,フラグOFF日数,数量影響率(%),絶対影響額
290:たばこ,日曜フラグ,1031.0316742081448,1313.018906199286,-281.98723199114124,-21.476250696754406,1326,12463,-21.0530393017611,281.98723199114124
290:たばこ,週末フラグ,1054.593661971831,1346.3225716928769,-291.72890972104597,-21.66857451956879,2854,10935,-21.5620257850214,291.72890972104597
290:たばこ,平日フラグ,1357.8355161787365,1056.0407225964482,301.7947935822883,28.57795036921272,10481,3308,28.63584401920079,301.7947935822883
290:たばこ,休日フラグ,1056.0407225964482,1357.8355161787365,-301.7947935822883,-22.226167307186717,3308,10481,-22.261170078634127,301.7947935822883
290:たばこ,連休フラグ,1091.241769547325,1300.528947783562,-209.28717823623697,-16.092465961093485,1011,12778,-16.107807284368338,209.28717823623697
290:たばこ,降雨フラグ,1305.198418404026,1272.1579272817214,33.0404911223045,2.5972004272224005,5610,8179,2.0757549631570957,33.0404911223045
245:衣料品,祝日フラグ,717.0,767.7445008460237,-50.7445008460237,-6.609555755867387,20,631,-2.3761118170266773,50.7445008460237
245:衣料品,土曜フラグ,713.2627118644068,778.7261663286004,-65.46345446419355,-8.406479362678796,127,524,-7.016694278068049,65.46345446419355
245:衣料品,日曜フラグ,745.3493975903615,769.342803030303,-23.99340543994151,-3.1186884891150997,85,566,-3.587153145158537,23.99340543994151
245:衣料品,週末フラグ,726.5124378109452,785.4829268292683,-58.970489018323065,-7.507545613545949,212,439,-6.783287861766435,58.970489018323065
245:衣料品,平日フラグ,788.9948717948718,725.6515837104073,63.34328808446446,8.729160041321355,419,232,7.283511269276404,63.34328808446446
245:衣料品,休日フラグ,725.6515837104073,788.9948717948718,-63.34328808446446,-8.028352318737616,232,419,-6.789031402034507,63.34328808446446
245:衣料品,連休フラグ,696.7285714285714,775.0573012939002,-78.3287298653288,-10.106185663249006,72,579,-8.57535861662408,78.3287298653288
245:衣料品,降雨フラグ,824.9918367346938,726.6502732240438,98.34156351065008,13.533547998863686,260,391,11.799868334430544,98.34156351065008
210:医薬品・医薬部外品,祝日フラグ,528.4444444444445,759.2592592592592,-230.81481481481478,-30.399999999999995,9,216,-30.4,230.81481481481478
210:医薬品・医薬部外品,土曜フラグ,678.7777777777778,763.5978835978837,-84.82010582010582,-11.107954545454545,36,189,-11.107954545454533,84.82010582010582
210:医薬品・医薬部外品,日曜フラグ,650.5333333333333,765.3333333333334,-114.80000000000007,-15.000000000000007,30,195,-15.000000000000002,114.80000000000007
210:医薬品・医薬部外品,週末フラグ,665.939393939394,784.930817610063,-118.99142367066895,-15.159479154222911,66,159,-15.159479154222907,118.99142367066895
210:医薬品・医薬部外品,平日フラグ,800.32,649.44,150.88,23.23232323232323,150,75,23.232323232323232,150.88
210:医薬品・医薬部外品,休日フラグ,649.44,800.32,-150.88,-18.852459016393443,75,150,-18.852459016393443,150.88
210:医薬品・医薬部外品,連休フラグ,622.0689655172414,768.9591836734694,-146.890218156228,-19.10247270271284,29,196,-19.102472702712838,146.890218156228
210:医薬品・医薬部外品,降雨フラグ,814.4090909090909,708.6715328467153,105.73755806237557,14.920531326781324,88,137,14.920531326781322,105.73755806237557
195:スナック菓子,祝日フラグ,296.578125,321.7496679946879,-25.17154299468791,-7.823331458761131,64,1514,-9.376028637261355,25.17154299468791
195:スナック菓子,土曜フラグ,316.04545454545456,321.4859259259259,-5.440471380471365,-1.6922891304812244,221,1357,-3.1693077564637218,5.440471380471365
195:スナック菓子,日曜フラグ,308.3705583756345,322.49599417334304,-14.12543579770852,-4.380034497456745,200,1378,-7.122826594317047,14.12543579770852
195:スナック菓子,週末フラグ,312.4196642685851,323.7267996530789,-11.30713538449379,-3.4928017688405957,421,1157,-5.9152338282305355,11.30713538449379
195:スナック菓子,平日フラグ,325.3223140495868,310.3118503118503,15.010463737736472,4.837218985562939,1093,485,7.631774268732074,15.010463737736472
195:スナック菓子,休日フラグ,310.3118503118503,325.3223140495868,-15.010463737736472,-4.614028331130253,485,1093,-7.0906331523229085,15.010463737736472
195:スナック菓子,連休フラグ,324.359477124183,320.33098094565986,4.028496178523142,1.257604296228383,156,1422,-0.8863662424033929,4.028496178523142
195:スナック菓子,降雨フラグ,336.2547864506627,308.8877665544332,27.36701989622952,8.859858777025027,679,899,10.462743965190386,27.36701989622952
120:惣菜,祝日フラグ,407.56410256410254,439.7551652892562,-32.19106272515364,-7.3202239032211125,39,993,-6.681244783032955,32.19106272515364
120:惣菜,土曜フラグ,392.1136363636364,445.5074285714286,-53.39379220779222,-11.984938697656652,137,895,-11.328338495172154,53.39379220779222
120:惣菜,日曜フラグ,357.66386554621846,449.34234234234236,-91.6784767961239,-20.402812768149154,126,906,-19.238841471946273,91.6784767961239
120:惣菜,週末フラグ,375.7808764940239,459.3346560846561,-83.55377959063219,-18.19017539474163,263,769,-17.192525671960038,83.55377959063219
120:惣菜,平日フラグ,462.1506276150628,380.0551724137931,82.09545520126966,21.600930906917508,730,302,20.132618855367152,82.09545520126966
