商品名,平均,標準偏差,最小,最大,中央値,変動係数_CV,需要パターン,安全在庫,発注点,推奨発注量_週間
◎ハムエッグデニッシュ２,8.904761904761905,6.8549599700126755,1.0,26.0,7.0,0.77,変動大,11.0,20.0,62.0
◎ジュワっとしたチーズ塩,8.0,6.18241233033047,1.0,22.0,5.0,0.77,変動大,10.0,18.0,56.0
アサイーボウルドリンク,6.6923076923076925,5.159606425061747,1.0,20.0,5.0,0.77,変動大,8.0,15.0,47.0
◎しっとりケーキ（チョコ,9.876404494382022,7.616996880062945,1.0,40.0,7.0,0.77,変動大,13.0,23.0,69.0
つぶグミＰ濃厚マンゴー,6.2894736842105265,4.752853451530058,1.0,21.0,5.5,0.76,変動大,8.0,14.0,44.0
ちぎれるブリオッシュパン,12.636363636363637,9.63399464468674,1.0,35.0,9.0,0.76,変動大,16.0,29.0,88.0
野菜生活巨峰,5.545454545454546,4.180039147272101,1.0,15.0,4.0,0.75,変動大,7.0,13.0,39.0
◎キャラメルバニラメロン,11.041666666666666,8.248737277102881,1.0,30.0,10.0,0.75,変動大,14.0,25.0,77.0
◎つぶつぶいちご蒸しＣ,10.434782608695652,7.8672282687367785,1.0,27.0,10.0,0.75,変動大,13.0,23.0,73.0
かぶり寿司　唐揚げ巻,5.514285714285714,4.1399874152368294,1.0,16.0,5.0,0.75,変動大,7.0,13.0,39.0
ワイルドターキーＨＢ３５,5.0,3.762159772503842,1.0,12.0,4.0,0.75,変動大,6.0,11.0,35.0
サメジマブルーソーダ味,5.461538461538462,4.074624412453754,1.0,14.0,5.0,0.75,変動大,7.0,12.0,38.0
◎生スコーン６個入（チー,6.5,4.898979485566356,1.0,14.0,5.0,0.75,変動大,8.0,14.0,46.0
いかめしおむすび,6.333333333333333,4.770075805310205,1.0,20.0,5.0,0.75,変動大,8.0,14.0,44.0
植物生のスパイシーカレー,7.0,5.253570214625479,1.0,14.0,7.5,0.75,変動大,9.0,16.0,49.0
韓国風海苔佃煮おむすび,6.534883720930233,4.856751987399567,1.0,22.0,6.0,0.74,変動大,8.0,15.0,46.0
ルックア・ラ・モード,5.0,3.6817870057290865,1.0,13.0,5.0,0.74,変動大,6.0,11.0,35.0
くりーむパン　カスタード,5.142857142857143,3.8047589248453675,1.0,12.0,3.0,0.74,変動大,6.0,11.0,36.0
Ｃボス　フルーツエード,13.954545454545455,10.25932257941934,1.0,42.0,12.0,0.74,変動大,17.0,31.0,98.0
伊右衛門　京都サイダー,10.75,7.979139469057215,1.0,28.0,8.5,0.74,変動大,13.0,24.0,75.0
１９６レモン３５０,5.384615384615385,3.9097511233010533,1.0,15.0,4.5,0.73,変動大,6.0,11.0,38.0
センティアクリアシルバー,6.431818181818182,4.68501022348387,1.0,19.0,5.0,0.73,変動大,8.0,14.0,45.0
味付海苔　ベーコンマヨ,7.071428571428571,5.136060832887485,1.0,20.0,6.5,0.73,変動大,8.0,15.0,50.0
クラフトボス　ラテ,19.723076923076924,14.330373874558033,3.0,54.0,14.0,0.73,変動大,24.0,44.0,138.0
Ｃボス　地中海スカッシュ,18.40740740740741,13.405679792992624,6.0,66.0,15.0,0.73,変動大,22.0,40.0,129.0
１９６王林３５０,5.68,4.1000000000000005,1.0,16.0,4.0,0.72,変動大,7.0,13.0,40.0
三ツ矢　ひんやり和梨,7.647058823529412,5.476554305293021,1.0,24.0,8.0,0.72,変動大,9.0,17.0,54.0
カレーコロッケバ－ガ－（,5.0,3.6209268304000717,1.0,15.0,4.0,0.72,変動大,6.0,11.0,35.0
◎たっぷりマロンクリーム,12.357142857142858,8.940892597473724,2.0,32.0,11.0,0.72,変動大,15.0,27.0,86.0
◎白生コッペパン（カスタ,15.565217391304348,11.122993062907863,1.0,62.0,13.0,0.71,変動大,18.0,34.0,109.0
全粒粉サラダチキンとハム,5.933333333333334,4.2336520314982815,1.0,14.0,7.0,0.71,変動大,7.0,13.0,42.0
こだわり酒場のレモン３５,5.1521739130434785,3.632980969484657,1.0,18.0,4.5,0.71,変動大,6.0,11.0,36.0
◎プリンみたいなパンケー,11.0,7.773098007331372,1.0,25.0,12.0,0.71,変動大,13.0,24.0,77.0
◎どかっと満足パン（ベー,6.461538461538462,4.502136245076416,1.0,13.0,6.0,0.7,変動大,7.0,13.0,45.0
テリアＢルビーＭ,5.7272727272727275,3.9992162241523666,1.0,23.0,5.0,0.7,変動大,7.0,13.0,40.0
◎生コッペパン（ダブルピ,8.241758241758241,5.741352259104624,2.0,28.0,7.0,0.7,変動大,9.0,17.0,58.0
漬け真鯛おむすび,21.103448275862068,14.845260974432712,3.0,48.0,14.0,0.7,変動大,24.0,45.0,148.0
