商品名,平均,標準偏差,最小,最大,中央値,変動係数_CV,需要パターン,安全在庫,発注点,推奨発注量_週間
２ＷＡＹマーカーピンク,1.0,,1.0,1.0,1.0,,不明,,,7.0
３種のミックスサンド,32.51764705882353,17.63087913745834,7.0,88.0,28.0,0.54,通常,29.0,62.0,228.0
３種チーズとハムのサンド,3.6666666666666665,1.1547005383792515,3.0,5.0,3.0,0.31,通常,2.0,6.0,26.0
３種チーズのミートソース,1.3333333333333333,0.5773502691896257,1.0,2.0,1.0,0.43,通常,1.0,2.0,9.0
３色そぼろ＆チキン南蛮弁,0.7142857142857143,0.7262730392025628,0.0,2.0,1.0,1.02,変動大,1.0,2.0,5.0
３１マスコットつきグミ２,1.7142857142857142,1.0690449676496976,1.0,4.0,1.0,0.62,通常,2.0,4.0,12.0
４５Ｌ半透明ゴミ袋,0.0,,0.0,0.0,0.0,,不明,,,0.0
４Ｄグミサンリオキャラ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
４Ｄグミ旅路のマジックア,1.6842105263157894,0.88522637273985,1.0,4.0,1.0,0.53,通常,1.0,3.0,12.0
５種チーズのドリア,1.0,,1.0,1.0,1.0,,不明,,,7.0
６種具材の冷し中華,1.7,1.5546540298543505,0.0,8.0,1.0,0.91,変動大,3.0,5.0,12.0
７０Ｌ半透明ゴミ袋,0.0,,0.0,0.0,0.0,,不明,,,0.0
７ＤＡＹＳマスク大きめ,1.96875,1.1211852887069573,1.0,5.0,2.0,0.57,通常,2.0,4.0,14.0
８×４ロールオンせっけん,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＡＥＲＡ（アエラ）,1.0,0.7071067811865476,0.0,2.0,1.0,0.71,変動大,1.0,2.0,7.0
ＡｍａｚｏｎＶＡＲ,1.2727272727272727,0.4558423058385518,1.0,2.0,1.0,0.36,通常,1.0,2.0,9.0
Ａｐｐｌｅチャージ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＡｐｐｌｅＧＣ　ＶＡＲ,1.1818181818181819,0.40451991747794525,1.0,2.0,1.0,0.34,通常,1.0,2.0,8.0
ＡｐｐｌｅＧＣ１．５千,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＡｐｐｌｅＧＣ＿１万,3.0,,3.0,3.0,3.0,,不明,,,21.0
ＡｐｐｌｅＧＣ＿５千,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ＡｐｐｌｅＧＣ＿ＶＡＲ,1.3529411764705883,0.4850712500726659,1.0,2.0,1.0,0.36,通常,1.0,2.0,9.0
ＢＩＣ電子ライター,2.4698795180722892,1.5248938339501799,1.0,9.0,2.0,0.62,通常,3.0,5.0,17.0
ＢＩＧあらびきソーセージ,1.0,0.3922322702763681,0.0,2.0,1.0,0.39,通常,1.0,2.0,7.0
ＢＩＯ　ブルーベリーミッ,1.6666666666666667,0.5,1.0,2.0,2.0,0.3,通常,1.0,3.0,12.0
ＢＳおつまみ激辛チキン,1.4285714285714286,0.5345224838248488,1.0,2.0,1.0,0.37,通常,1.0,2.0,10.0
ＢＳおつまみ焼そば味スパ,2.0714285714285716,1.328057326976612,1.0,6.0,2.0,0.64,通常,2.0,4.0,15.0
ＢＳラーメンおつまみ,1.3488372093023255,0.5725349201341163,1.0,3.0,1.0,0.42,通常,1.0,2.0,9.0
ＢＳラーメン丸銀だこ,2.625,2.669269563007828,1.0,9.0,2.0,1.02,変動大,4.0,7.0,18.0
ＢＳラーメン柿の種ミック,1.5789473684210527,0.8377078165833911,1.0,4.0,1.0,0.53,通常,1.0,3.0,11.0
Ｃボス　フルーツエード,13.954545454545455,10.25932257941934,1.0,42.0,12.0,0.74,変動大,17.0,31.0,98.0
Ｃボス　地中海スカッシュ,18.40740740740741,13.405679792992624,6.0,66.0,15.0,0.73,変動大,22.0,40.0,129.0
Ｃ玄米ブラン　カカオ,1.48,0.918331820930394,0.0,4.0,1.0,0.62,通常,2.0,3.0,10.0
Ｃ玄米ブラン　ブルーベリ,3.5057471264367814,1.771043334718535,0.0,9.0,3.0,0.51,通常,3.0,7.0,25.0
Ｃ玄米ブランメープル,2.5625,1.3105583890614112,1.0,6.0,2.0,0.51,通常,2.0,5.0,18.0
Ｃ玄米ブラン贅沢ミルク,1.2,0.7888106377466155,0.0,3.0,1.0,0.66,通常,1.0,2.0,8.0
Ｃ玄米プラス　アーモンド,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
Ｃ１０００コラーゲン＆,1.0909090909090908,0.30151134457776363,1.0,2.0,1.0,0.28,安定,0.0,1.0,8.0
Ｃ１０００ビタミンレモン,4.744186046511628,2.590416939012069,1.0,16.0,5.0,0.55,通常,4.0,9.0,33.0
ＣＲバーナーライター,1.507462686567164,0.7461646241372509,1.0,4.0,1.0,0.49,通常,1.0,3.0,11.0
ＣＷワンタッチ開閉折傘,1.3846153846153846,0.7679476477883044,0.0,3.0,1.0,0.55,通常,1.0,2.0,10.0
ＣＷ折りたたみ耐風傘,1.6666666666666667,1.543033499620919,0.0,5.0,1.0,0.93,変動大,3.0,5.0,12.0
ＣＷ晴雨兼用スリム折傘,0.6,0.5477225575051661,0.0,1.0,1.0,0.91,変動大,1.0,2.0,4.0
ＣＷ晴雨兼用ミニ折傘,1.0,0.6030226891555273,0.0,2.0,1.0,0.6,通常,1.0,2.0,7.0
Ｆはちみつ＆マーガリンの,1.2413793103448276,0.6355634403421166,0.0,2.0,1.0,0.51,通常,1.0,2.0,9.0
Ｆグレイシアラムネわらび,5.090909090909091,2.844452335847639,1.0,10.0,4.0,0.56,通常,5.0,10.0,36.0
ＦチャーリーＢロール,2.466666666666667,1.6417180315870612,1.0,6.0,2.0,0.67,通常,3.0,5.0,17.0
Ｆリーフィアロールケーキ,3.8,2.5967012040004027,1.0,8.0,3.0,0.68,通常,4.0,8.0,27.0
Ｆレモンクリームのロール,1.3076923076923077,0.9473309334313418,0.0,4.0,1.0,0.72,変動大,2.0,3.0,9.0
Ｆ伊之助のほわほわ大福,4.583333333333333,3.800916954758377,1.0,12.0,3.0,0.83,変動大,6.0,11.0,32.0
Ｆ水柱の水まんじゅう（ラ,4.7272727272727275,3.003028774118194,1.0,10.0,4.0,0.64,通常,5.0,10.0,33.0
Ｆ謹製塩豆大福,1.8571428571428572,1.0690449676496976,1.0,4.0,2.0,0.58,通常,2.0,4.0,13.0
ＦＬＡＳＨ　（フラッシュ,0.5,0.7071067811865476,0.0,1.0,0.5,1.41,変動大,1.0,2.0,4.0
ＦＭオリジナル安食ロール,3.142857142857143,2.14322341192107,1.0,8.0,2.0,0.68,通常,4.0,7.0,22.0
ＦＲＩＤＡＹ（フライデー,0.5,0.7071067811865476,0.0,1.0,0.5,1.41,変動大,1.0,2.0,4.0
