商品名,平均,標準偏差,最小,最大,中央値,変動係数_CV,需要パターン,安全在庫,発注点,推奨発注量_週間
◎生コッペパン（焼きそば,8.098901098901099,4.777388745271127,1.0,24.0,7.0,0.59,通常,8.0,16.0,57.0
◎生スコーン６個入,14.945652173913043,5.598987605572802,5.0,32.0,15.0,0.37,通常,9.0,24.0,105.0
◎生スコーン６個入（スイ,6.78125,5.493306043752029,1.0,19.0,5.0,0.81,変動大,9.0,16.0,47.0
◎生スコーン６個入（チー,6.5,4.898979485566356,1.0,14.0,5.0,0.75,変動大,8.0,14.0,46.0
◎生フランスパン（おいも,12.928571428571429,7.670766541921307,4.0,29.0,11.5,0.59,通常,13.0,26.0,90.0
◎発酵バター香るチョコク,4.894117647058824,4.693012864663719,0.0,21.0,3.0,0.96,変動大,8.0,13.0,34.0
◎白生クリームパン（ダブ,8.320754716981131,8.523211711613584,1.0,40.0,5.0,1.02,変動大,14.0,22.0,58.0
◎白生クロワッサン（ダブ,6.958333333333333,4.247548312458219,1.0,18.0,7.0,0.61,通常,7.0,14.0,49.0
◎白生コッペパン（カスタ,15.565217391304348,11.122993062907863,1.0,62.0,13.0,0.71,変動大,18.0,34.0,109.0
◎白生コッペパン（トリプ,2.6666666666666665,1.1547005383792515,2.0,4.0,2.0,0.43,通常,2.0,5.0,19.0
◎白生コッペパン（レアチ,13.206896551724139,8.423518565577602,2.0,34.0,13.0,0.64,通常,14.0,27.0,92.0
◎白生フランスパン（つぶ,9.451612903225806,5.697009213481635,2.0,24.0,8.0,0.6,通常,9.0,18.0,66.0
◎種ぬきはちみつ干し梅,6.1208791208791204,3.036208032819758,1.0,14.0,6.0,0.5,通常,5.0,11.0,43.0
◎紀州南高梅茎わかめ,2.152542372881356,1.1568917828870227,1.0,5.0,2.0,0.54,通常,2.0,4.0,15.0
◎紅はるかのおいもチップ,1.2,0.4216370213557839,1.0,2.0,1.0,0.35,通常,1.0,2.0,8.0
◎紅はるかの熟成干し芋,2.518987341772152,1.6318996284311147,0.0,7.0,2.0,0.65,通常,3.0,6.0,18.0
◎素焼きミックスナッツ,1.4285714285714286,0.6770032003863301,1.0,3.0,1.0,0.47,通常,1.0,2.0,10.0
◎緑茶６００,100.76086956521739,34.68234803426108,47.0,252.0,92.5,0.34,通常,57.0,158.0,705.0
◎練乳はちみつドーナツ,1.7358490566037736,0.8582393290969065,1.0,4.0,2.0,0.49,通常,1.0,3.0,12.0
◎肉たっぷり７種具材豚汁,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎芋あん豆大福,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎芋きんつば,1.5,0.7071067811865476,1.0,2.0,1.5,0.47,通常,1.0,2.0,10.0
◎薫製したうずらたまご,1.6615384615384616,0.8710073743395323,1.0,5.0,1.0,0.52,通常,1.0,3.0,12.0
◎豆腐と枝豆のひじき和え,1.6666666666666667,1.8387366263150307,0.0,6.0,1.0,1.1,変動大,3.0,5.0,12.0
◎贅沢バウムクーヘン,1.71875,1.1704527659924406,0.0,5.0,1.0,0.68,通常,2.0,4.0,12.0
◎超暴君ハバネロ,1.7708333333333333,0.9506903053768818,1.0,5.0,1.5,0.54,通常,2.0,4.0,12.0
◎除菌ハンディＷティシュ,5.065934065934066,2.6322875467808853,0.0,15.0,5.0,0.52,通常,4.0,9.0,35.0
◎風味が豊かなチーズ鱈小,1.1379310344827587,0.35093120317179827,1.0,2.0,1.0,0.31,通常,1.0,2.0,8.0
◎香ばしいバタピー,1.4444444444444444,0.8674821338363417,1.0,5.0,1.0,0.6,通常,1.0,2.0,10.0
◎高地栽培バナナ１本,1.2790697674418605,0.5488334553243615,0.0,3.0,1.0,0.43,通常,1.0,2.0,9.0
◎麦茶６００,39.869565217391305,11.502715772310339,17.0,74.0,39.0,0.29,安定,19.0,59.0,279.0
◎麻辣花生,1.2,0.6324555320336759,1.0,3.0,1.0,0.53,通常,1.0,2.0,8.0
◎黒ごまミニアスパラガス,1.5,0.7184212081070998,0.0,3.0,1.0,0.48,通常,1.0,2.0,10.0
◎黒胡椒香るチーズフラン,12.122448979591837,7.988618604670294,2.0,40.0,11.0,0.66,通常,13.0,25.0,85.0
◎２種の醤油仕上げ柿ピー,1.3442622950819672,0.7502276521527614,0.0,4.0,1.0,0.56,通常,1.0,2.0,9.0
◎３種フルーツとナッツ,3.6666666666666665,2.3484359721209165,1.0,8.0,3.0,0.64,通常,4.0,8.0,26.0
◎４種きのこクリームスー,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎４種のフルーツケーキ,3.1707317073170733,2.7162286765710055,1.0,16.0,2.0,0.86,変動大,4.0,7.0,22.0
◎５種のナッツ＆フルーツ,2.219178082191781,1.4553214167941062,1.0,6.0,2.0,0.66,通常,2.0,4.0,16.0
◎ＢＳラーメン丸チキン味,5.50561797752809,2.763905321303116,0.0,14.0,5.0,0.5,通常,5.0,11.0,39.0
◎Ｆボス　ラテ　４５０,19.771428571428572,11.960930797651935,2.0,52.0,20.0,0.6,通常,20.0,40.0,138.0
◎Ｆボスブラック　４５０,18.4,11.203382947738787,3.0,42.0,18.0,0.61,通常,18.0,36.0,129.0
◎ＰＣ濃いめのり塩,1.35,0.6998168258505861,1.0,4.0,1.0,0.52,通常,1.0,2.0,9.0
あなご寿司,5.0,,5.0,5.0,5.0,,不明,,,35.0
あの夏のラムネグミ,12.857142857142858,8.275034167675107,2.0,24.0,11.0,0.64,通常,14.0,27.0,90.0
あの日夢見た雲グミ,4.833333333333333,3.4775704069018274,1.0,18.0,4.0,0.72,変動大,6.0,11.0,34.0
いかめしおむすび,6.333333333333333,4.770075805310205,1.0,20.0,5.0,0.75,変動大,8.0,14.0,44.0
いちごドーナツ棒１本,3.0,,3.0,3.0,3.0,,不明,,,21.0
いちごミルク,2.4242424242424243,1.3926212476455828,1.0,7.0,2.0,0.57,通常,2.0,4.0,17.0
いなり寿司３ヶ入,2.6625,1.5906670044315823,0.0,8.0,2.0,0.6,通常,3.0,6.0,19.0
いなり寿司５ヶ入,1.5714285714285714,0.7867957924694431,1.0,3.0,1.0,0.5,通常,1.0,3.0,11.0
い・ろ・は・す５４０,168.21666666666667,79.36871510773692,6.0,380.0,145.5,0.47,通常,131.0,299.0,1178.0
うまイチュウ青りんご味,3.0864197530864197,1.9117892853567668,0.0,9.0,3.0,0.62,通常,3.0,6.0,22.0
うるおいさらっとジェル,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
うるおいトラベルセット,1.0,,1.0,1.0,1.0,,不明,,,7.0
おいしい牛乳２００ＭＬ,6.9010989010989015,3.921606657863429,1.0,24.0,6.0,0.57,通常,6.0,13.0,48.0
おっとっとうすしお味,2.3424657534246576,1.3459731927555016,1.0,6.0,2.0,0.57,通常,2.0,4.0,16.0
おとうふくんグミ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
おむすびおかずＳ（昆・ツ,2.395348837209302,1.1507447181250712,1.0,6.0,2.0,0.48,通常,2.0,4.0,17.0
おむすび２個（鮭・昆布）,2.0980392156862746,1.1705537486298405,1.0,6.0,2.0,0.56,通常,2.0,4.0,15.0
おろしタツタ弁当（わかめ,0.6,0.5477225575051661,0.0,1.0,1.0,0.91,変動大,1.0,2.0,4.0
おーいお茶濃い茶１Ｌ,1.8333333333333333,1.1934162828797101,1.0,4.0,1.0,0.65,通常,2.0,4.0,13.0
おーいお茶濃い茶６００,8.4,4.087504410724508,2.0,20.0,8.0,0.49,通常,7.0,15.0,59.0
おーいお茶濃く香るほうじ,14.05,11.468377575338472,1.0,37.0,10.0,0.82,変動大,19.0,33.0,98.0
おーいお茶濃茶ストロング,6.857142857142857,2.6726124191242437,4.0,11.0,6.0,0.39,通常,4.0,11.0,48.0
おーいお茶緑茶　３５０,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
おーいお茶緑茶　６００,17.107142857142858,11.222791907589581,4.0,44.0,13.0,0.66,通常,18.0,35.0,120.0
お手軽！冷しぶっかけそば,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
お月見タルト　カスタード,3.1538461538461537,1.625123269486238,1.0,6.0,3.0,0.52,通常,3.0,6.0,22.0
お泊まりスキンケアセット,1.3333333333333333,0.8876253645985944,0.0,3.0,1.0,0.67,通常,1.0,2.0,9.0
かっぱえびせん鳴門の塩,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
かぶり寿司　唐揚げ巻,5.514285714285714,4.1399874152368294,1.0,16.0,5.0,0.75,変動大,7.0,13.0,39.0
かぶり寿司　旨辛唐揚げ巻,4.090909090909091,2.1360642693445726,1.0,11.0,4.0,0.52,通常,4.0,8.0,29.0
かぶり寿司　甘辛そぼろマ,3.933333333333333,2.1803722132942687,1.0,9.0,4.0,0.55,通常,4.0,8.0,28.0
かむかむレモン,1.5833333333333333,0.7929614610987591,1.0,3.0,1.0,0.5,通常,1.0,3.0,11.0
きつねおむすび,19.0,,19.0,19.0,19.0,,不明,,,133.0
きのことベーコンのドリア,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
きのこの山のジクカール,1.3333333333333333,0.5,1.0,2.0,1.0,0.38,通常,1.0,2.0,9.0
きのこの山ポケットパック,2.0,,2.0,2.0,2.0,,不明,,,14.0
きのこベーコン醤油パスタ,1.4615384615384615,0.7762500258061847,0.0,3.0,1.0,0.53,通常,1.0,2.0,10.0
きりっと果実　ピンクＧＦ,4.7592592592592595,3.649425828114972,1.0,16.0,4.0,0.77,変動大,6.0,11.0,33.0
くりーむパン　カスタード,5.142857142857143,3.8047589248453675,1.0,12.0,3.0,0.74,変動大,6.0,11.0,36.0
くりーむパン　和栗,3.5,1.7159383568311668,1.0,6.0,3.0,0.49,通常,3.0,6.0,24.0
くりーむメロンパン,2.0,1.4142135623730951,1.0,4.0,1.0,0.71,変動大,2.0,4.0,14.0
こだわりカレー,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
こだわり酒場のレモン３５,5.1521739130434785,3.632980969484657,1.0,18.0,4.5,0.71,変動大,6.0,11.0,36.0
こってり炒飯おむすび,25.24137931034483,15.272887210473408,2.0,58.0,20.0,0.61,通常,25.0,50.0,177.0
こんがりパンポタージュ,1.0909090909090908,0.5393598899705937,0.0,2.0,1.0,0.49,通常,1.0,2.0,8.0
ごまだれ冷し中華,2.75,1.9086270308410556,0.0,5.0,3.0,0.69,通常,3.0,6.0,19.0
ごろごろゆでたまごサンド,7.933333333333334,3.6735865438612025,2.0,15.0,7.0,0.46,通常,6.0,14.0,56.0
ごろっと白桃ケーキ,2.0,0.0,2.0,2.0,2.0,0.0,安定,0.0,2.0,14.0
さくふわきなこもちぼーる,1.7692307692307692,1.165750556068647,1.0,5.0,1.0,0.66,通常,2.0,4.0,12.0
さけるグミハロウィン,1.8888888888888888,1.0786096109392211,1.0,4.0,1.5,0.57,通常,2.0,4.0,13.0
さけるチーズとうがらし味,1.2121212121212122,0.6498834394323992,0.0,4.0,1.0,0.54,通常,1.0,2.0,8.0
さけるチーズスモーク味,1.4666666666666666,0.7261354744623947,0.0,3.0,1.0,0.5,通常,1.0,2.0,10.0
さけるチーズプレーン,2.08974358974359,1.2503079873655385,0.0,6.0,2.0,0.6,通常,2.0,4.0,15.0
さつまりこ焼きいも,2.0,0.8944271909999159,1.0,3.0,2.0,0.45,通常,1.0,3.0,14.0
さばと青じそおむすび,16.0,5.540758070878027,8.0,26.0,16.0,0.35,通常,9.0,25.0,112.0
さばほぐしごはん,1.7826086956521738,0.85048230910629,1.0,3.0,2.0,0.48,通常,1.0,3.0,12.0
さらさらシートせっけん,3.397590361445783,2.135300053377685,1.0,10.0,3.0,0.63,通常,4.0,7.0,24.0
さらさらシートクール,2.196969696969697,1.551373554873199,0.0,8.0,2.0,0.71,変動大,3.0,5.0,15.0
ざるそば,1.0,0.7559289460184544,0.0,2.0,1.0,0.76,変動大,1.0,2.0,7.0
しあわせ素肌ミニ夜用,1.0833333333333333,0.5149286505444373,0.0,2.0,1.0,0.48,通常,1.0,2.0,8.0
しゃりぷにょ梅グミ,3.6129032258064515,2.5518283557067956,1.0,13.0,3.0,0.71,変動大,4.0,8.0,25.0
しゃり蔵ザクザクッラー油,1.608695652173913,0.7827184815397382,1.0,3.0,1.0,0.49,通常,1.0,3.0,11.0
しゃりｉｎグミみかん,4.242424242424242,1.9207795134772598,1.0,10.0,4.0,0.45,通常,3.0,7.0,30.0
しゃりｉｎグミソーダ味,3.263157894736842,1.8407432477467294,1.0,8.0,3.0,0.56,通常,3.0,6.0,23.0
しょうが香る冷し薬味そば,0.0,,0.0,0.0,0.0,,不明,,,0.0
しらすおむすび,15.428571428571429,7.31143917824274,6.0,34.0,14.0,0.47,通常,12.0,27.0,108.0
じゃがりこサラダ,7.684782608695652,3.406294586403904,1.0,25.0,7.5,0.44,通常,6.0,14.0,54.0
じゃがりこチーズ,2.357142857142857,1.4747705720435402,1.0,8.0,2.0,0.63,通常,2.0,4.0,16.0
じゃがりこ肉じゃがｂｉｔ,1.3333333333333333,0.7071067811865476,1.0,3.0,1.0,0.53,通常,1.0,2.0,9.0
じゃがりこＬヤンニョム,2.0285714285714285,1.2001400478501587,1.0,6.0,2.0,0.59,通常,2.0,4.0,14.0
じゃがりこＬ明太もんじゃ,1.6785714285714286,0.936281675898539,1.0,4.0,1.0,0.56,通常,2.0,4.0,12.0
じゃがビーバターしょうゆ,1.4509803921568627,0.7826551089770277,0.0,5.0,1.0,0.54,通常,1.0,2.0,10.0
じゃりむちグミピーチＳ,7.043478260869565,4.4259386356256805,1.0,18.0,6.0,0.63,通常,7.0,14.0,49.0
じゅるるマンゴー,2.0,1.378404875209022,1.0,6.0,2.0,0.69,通常,2.0,4.0,14.0
すだち明太クリームうどん,0.6666666666666666,0.5773502691896258,0.0,1.0,1.0,0.87,変動大,1.0,2.0,5.0
すっぱいぶどうグミ,4.805555555555555,2.412105712495613,1.0,10.0,5.0,0.5,通常,4.0,9.0,34.0
すッパイチュウレモン味,2.3,2.110818693198342,1.0,8.0,2.0,0.92,変動大,3.0,5.0,16.0
その他１０口座売上,1.0,,1.0,1.0,1.0,,不明,,,7.0
その他３口座売上,13.294117647058824,21.20072140836944,0.0,75.0,2.0,1.59,変動大,35.0,48.0,93.0
その他４口座売上,2.0,1.0,1.0,3.0,2.0,0.5,通常,2.0,4.0,14.0
たけのこの里ＰＫＰ,1.0,,1.0,1.0,1.0,,不明,,,7.0
たっぷりコーンマヨネーズ,6.0,7.0710678118654755,1.0,11.0,6.0,1.18,変動大,12.0,18.0,42.0
たっぷりハムサンド,5.444444444444445,3.0046260628866577,1.0,11.0,6.0,0.55,通常,5.0,10.0,38.0
たぬきおむすび,12.964285714285714,8.052982621397431,4.0,33.0,10.0,0.62,通常,13.0,26.0,91.0
たべっ子グミグレープ＆マ,1.8,1.0954451150103321,1.0,3.0,1.0,0.61,通常,2.0,4.0,13.0
たべっ子グミパイナップル,1.1,0.31622776601683794,1.0,2.0,1.0,0.29,安定,1.0,2.0,8.0
たべっ子ラムネみかん,2.8947368421052633,1.4867838833500564,1.0,5.0,3.0,0.51,通常,2.0,5.0,20.0
たべっ子ラムネレモン味,1.375,0.5175491695067657,1.0,2.0,1.0,0.38,通常,1.0,2.0,10.0
たべっ子水族館ソルティ,1.1111111111111112,0.7817359599705717,0.0,3.0,1.0,0.7,変動大,1.0,2.0,8.0
たまごっち　まんまる焼き,3.5,2.073644135332772,1.0,6.0,3.5,0.59,通常,3.0,6.0,24.0
たまごっち　めじるし２,4.0,2.8284271247461903,2.0,9.0,3.0,0.71,変動大,5.0,9.0,28.0
たまごサンド,22.96551724137931,11.245579317544834,1.0,44.0,21.0,0.49,通常,18.0,41.0,161.0
たまごボーロっち２,4.5,2.1213203435596424,3.0,6.0,4.5,0.47,通常,3.0,8.0,32.0
たまご海老ブロコリサンド,8.227272727272727,4.898316700000776,1.0,18.0,7.5,0.6,通常,8.0,16.0,58.0
たまご＆海老ブロサンド,11.875,2.232071427428535,7.0,15.0,12.0,0.19,安定,4.0,16.0,83.0
だし醤油まぶし飯海苔佃煮,19.555555555555557,9.38231196335838,1.0,31.0,21.0,0.48,通常,15.0,35.0,137.0
ちいかわひやキャラ,2.3333333333333335,1.1547005383792515,1.0,3.0,3.0,0.49,通常,2.0,4.0,16.0
ちいかわステッカーグミ,2.0,1.5491933384829668,1.0,5.0,1.5,0.77,変動大,3.0,5.0,14.0
ちいかわチャームグミ,7.0,,7.0,7.0,7.0,,不明,,,49.0
ちいかわ花占いグミ,1.2222222222222223,0.6666666666666666,1.0,3.0,1.0,0.55,通常,1.0,2.0,9.0
ちいかわ黒猫ミニバッグ,1.5454545454545454,1.0357254813546264,1.0,4.0,1.0,0.67,通常,2.0,4.0,11.0
ちぎれるブリオッシュパン,12.636363636363637,9.63399464468674,1.0,35.0,9.0,0.76,変動大,16.0,29.0,88.0
ちびサワーズドリンクアソ,2.6341463414634148,1.746334398152781,1.0,10.0,2.0,0.66,通常,3.0,6.0,18.0
つかめる実験！ふしぎ玉,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
つくねおむすび,17.954545454545453,9.896980168223864,1.0,36.0,19.0,0.55,通常,16.0,34.0,126.0
つくね＆鶏そぼろごはん,2.21875,1.5808200199528948,0.0,6.0,2.0,0.71,変動大,3.0,5.0,16.0
つぶグミカタイソーダ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
つぶグミＰ濃厚マンゴー,6.2894736842105265,4.752853451530058,1.0,21.0,5.5,0.76,変動大,8.0,14.0,44.0
つぶ塩梅,1.8571428571428572,0.8997354108424372,1.0,3.0,2.0,0.48,通常,1.0,3.0,13.0
てんこ盛弁当,1.0,,1.0,1.0,1.0,,不明,,,7.0
とろみーグミぶどう味,8.95,4.4541524091807325,1.0,16.0,9.5,0.5,通常,7.0,16.0,63.0
とろ生おいもチーズケーキ,5.0,,5.0,5.0,5.0,,不明,,,35.0
なめらか食感水ようかん,1.2,0.4472135954999579,1.0,2.0,1.0,0.37,通常,1.0,2.0,8.0
にじピグチップスうすしお,12.0,4.242640687119285,9.0,15.0,12.0,0.35,通常,7.0,19.0,84.0
にゃんともチーズ塩バニラ,1.2,0.4472135954999579,1.0,2.0,1.0,0.37,通常,1.0,2.0,8.0
ねぎたっぷり！豚肉そば,1.4,0.8432740427115678,1.0,3.0,1.0,0.6,通常,1.0,2.0,10.0
ねぎ塩チキン醤油まぶし飯,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ねるねるねるねゼリー,3.0,,3.0,3.0,3.0,,不明,,,21.0
ねるねるねるねドリンク,3.6,1.8165902124584952,1.0,6.0,4.0,0.5,通常,3.0,7.0,25.0
のど飴,2.4390243902439024,1.207973110807856,1.0,5.0,2.0,0.5,通常,2.0,4.0,17.0
のむアサイーボウル,3.2083333333333335,1.3984540603342135,1.0,6.0,3.0,0.44,通常,2.0,5.0,22.0
のむココナッツ杏仁,1.3333333333333333,0.5773502691896257,1.0,2.0,1.0,0.43,通常,1.0,2.0,9.0
のむフルーチェイチゴ,1.8,0.4472135954999579,1.0,2.0,2.0,0.25,安定,1.0,3.0,13.0
はだおもい２３ｃｍ,1.380952380952381,0.9615125521390876,0.0,6.0,1.0,0.7,変動大,2.0,3.0,10.0
はちみつとりんごのケーキ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
はちみつカリンのど飴,5.456521739130435,2.560962402709896,1.0,14.0,6.0,0.47,通常,4.0,9.0,38.0
はみでたチキンカツバーガ,1.75,0.9574271077563381,1.0,3.0,1.5,0.55,通常,2.0,4.0,12.0
ひざ下２足ヌードベージュ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ひとくちルマンド,2.425,1.3758771655505964,0.0,7.0,2.0,0.57,通常,2.0,4.0,17.0
ふわしゅわショコラスフレ,2.0,1.0954451150103324,1.0,4.0,2.0,0.55,通常,2.0,4.0,14.0
ふわしゅわスフレレモン,1.2857142857142858,0.7559289460184545,1.0,3.0,1.0,0.59,通常,1.0,2.0,9.0
ふわもち生大福　きなこ,3.0,1.7822655773580136,1.0,7.0,2.5,0.59,通常,3.0,6.0,21.0
ふわもち生大福　コーヒー,1.8823529411764706,1.3173056280328643,0.0,4.0,1.0,0.7,変動大,2.0,4.0,13.0
ふんわりたまごのオムライ,16.366666666666667,6.754223880645731,1.0,33.0,16.0,0.41,通常,11.0,27.0,115.0
ぶどうきゃん,1.2,0.41403933560541245,1.0,2.0,1.0,0.35,通常,1.0,2.0,8.0
ぷっちょイカゲーム第二弾,2.5172413793103448,1.7852708809104012,1.0,7.0,2.0,0.71,変動大,3.0,6.0,18.0
ぷっちょ袋ＨＷアソート,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ぷっちょＳＴメガコーラ,2.6666666666666665,1.2110601416389966,1.0,4.0,2.5,0.45,通常,2.0,5.0,19.0
ぷっちょＳＴ有田みかん,2.6842105263157894,1.4162796168893963,1.0,7.0,2.0,0.53,通常,2.0,5.0,19.0
ぷっちょＳＴ瀬戸内レモン,3.272727272727273,2.6400183654090306,1.0,12.0,2.5,0.81,変動大,4.0,7.0,23.0
ぷにキャラグミちいかわ,4.3076923076923075,3.74987179268018,0.0,12.0,3.0,0.87,変動大,6.0,10.0,30.0
べスティＥＸ首振り,1.3125,0.7041543391425868,1.0,3.0,1.0,0.54,通常,1.0,2.0,9.0
まいたけおこわ,22.6,4.084815085865487,16.0,31.0,23.0,0.18,安定,7.0,30.0,158.0
まい塩あめ小袋,1.7894736842105263,0.9176629354822469,1.0,4.0,2.0,0.51,通常,2.0,4.0,13.0
まるごとりんごのど飴小袋,1.8833333333333333,1.316024659326261,1.0,7.0,1.0,0.7,変動大,2.0,4.0,13.0
まるごとバナナ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
まるごと和なしのど飴小袋,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
まるで桃みたいなケーキ,2.0,0.816496580927726,1.0,3.0,2.0,0.41,通常,1.0,3.0,14.0
まるで鶏皮のようなＰＣ,2.923076923076923,2.133974262695348,1.0,8.0,2.0,0.73,変動大,4.0,7.0,20.0
みんなのレモネード,4.666666666666667,2.503331114069145,2.0,9.0,4.0,0.54,通常,4.0,9.0,33.0
むちもっちバナナグミ,2.2413793103448274,1.6400168207716022,1.0,7.0,2.0,0.73,変動大,3.0,5.0,16.0
むっち実グミオレンジ味,1.8823529411764706,1.1114378604524227,1.0,5.0,2.0,0.59,通常,2.0,4.0,13.0
めっちゃふくらむフーセン,2.2,1.6431676725154984,1.0,5.0,2.0,0.75,変動大,3.0,5.0,15.0
もちっとガブリマスカット,2.5,1.7320508075688772,1.0,5.0,2.0,0.69,通常,3.0,6.0,18.0
もちゅグミ温州みかん味,4.138888888888889,1.929511822460768,1.0,8.0,4.0,0.47,通常,3.0,7.0,29.0
もち明太チーズドリア,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
もち麦　新生姜とわかめ,34.07142857142857,20.170484180002944,10.0,84.0,27.0,0.59,通常,33.0,67.0,238.0
もち麦　枝豆ゆかり,22.636363636363637,6.09266012506665,2.0,33.0,23.0,0.27,安定,10.0,33.0,158.0
もち麦　鮭ひじきしそ風味,23.125,7.586407017064893,8.0,33.0,24.0,0.33,通常,12.0,35.0,162.0
もっちりクリームロール,1.3333333333333333,1.118033988749895,0.0,4.0,1.0,0.84,変動大,2.0,3.0,9.0
やまがた県民手帳ブラック,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ゆず冷し鶏塩おろしうどん,0.8,0.7888106377466155,0.0,2.0,1.0,0.99,変動大,1.0,2.0,6.0
ゆず塩ラーメンサラダ,0.8,0.4472135954999579,0.0,1.0,1.0,0.56,通常,1.0,2.0,6.0
ゆず鶏だしミニ塩ラーメン,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
ゆでたまご＆ハムミックス,11.276315789473685,6.7480341516830435,1.0,31.0,10.0,0.6,通常,11.0,22.0,79.0
りんごの目覚め,3.6666666666666665,1.848422751068236,1.0,8.0,4.0,0.5,通常,3.0,7.0,26.0
わさびいなり寿司,7.678571428571429,2.5827572322297194,4.0,13.0,7.0,0.34,通常,4.0,12.0,54.0
わさび海苔　野沢菜わさび,13.413793103448276,7.485782912482028,1.0,28.0,12.0,0.56,通常,12.0,25.0,94.0
わた雪みたいなレアチーズ,2.0,1.0954451150103321,1.0,4.0,2.0,0.55,通常,2.0,4.0,14.0
んぽちゃむグミ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
アイスコーヒーＭ,4.035714285714286,4.409435529988129,0.0,17.0,2.0,1.09,変動大,7.0,11.0,28.0
アイスコーヒーＳ,10.791044776119403,6.6207600804907045,1.0,30.0,9.0,0.61,通常,11.0,22.0,76.0
アイルＣＲ電子ライター,2.217948717948718,1.410972179329731,0.0,9.0,2.0,0.64,通常,2.0,4.0,16.0
アクアリッチ　エッセンス,1.2941176470588236,0.6755205294731984,0.0,3.0,1.0,0.52,通常,1.0,2.0,9.0
アクエリアス　９５０,12.0,7.637626158259734,2.0,40.0,10.0,0.64,通常,13.0,25.0,84.0
アクエリアス５００,35.70652173913044,28.059018664737607,6.0,180.0,30.0,0.79,変動大,46.0,82.0,250.0
アクオクリアブルーミント,2.525,1.509254153966728,1.0,7.0,2.0,0.6,通常,2.0,5.0,18.0
アクオグリーンミント,1.8289473684210527,1.0248662728341598,1.0,5.0,2.0,0.56,通常,2.0,4.0,13.0
アサイーボウルドリンク,6.6923076923076925,5.159606425061747,1.0,20.0,5.0,0.77,変動大,8.0,15.0,47.0
アサヒ生ビール３５０,1.8703703703703705,1.2745150212856964,0.0,6.0,1.0,0.68,通常,2.0,4.0,13.0
アスティーグ肌　Ｌ,1.0,0.4364357804719847,0.0,2.0,1.0,0.44,通常,1.0,2.0,7.0
アスティーグ肌　Ｍ,0.9411764705882353,0.24253562503633297,0.0,1.0,1.0,0.26,安定,0.0,1.0,7.0
アスティーグ黒　Ｌ,1.0,,1.0,1.0,1.0,,不明,,,7.0
アスティーグ黒　Ｍ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
アップルパンチ３５０,4.666666666666667,2.807552838536876,1.0,10.0,4.0,0.6,通常,5.0,10.0,33.0
アポロチョコレート,1.25,0.7071067811865476,1.0,3.0,1.0,0.57,通常,1.0,2.0,9.0
アポロマイスタイル,2.4081632653061225,1.3832083379312206,0.0,5.0,2.0,0.57,通常,2.0,4.0,17.0
アメスピライト,3.611764705882353,2.0359513842957266,1.0,10.0,3.0,0.56,通常,3.0,7.0,25.0
アメスピＯＬゴールド,1.5185185185185186,0.7948119687626312,0.0,4.0,1.0,0.52,通常,1.0,3.0,11.0
アメスピＯＭライト,1.7619047619047619,0.9578819065031136,1.0,4.0,1.0,0.54,通常,2.0,4.0,12.0
アメスピＯＭ１,2.445945945945946,1.639761859521755,1.0,9.0,2.0,0.67,通常,3.0,5.0,17.0
アメリカヘアピン,0.9411764705882353,0.24253562503633297,0.0,1.0,1.0,0.26,安定,0.0,1.0,7.0
アリィージェルＵＶミニ,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
アルカリ水クリーナ－詰替,0.0,,0.0,0.0,0.0,,不明,,,0.0
アルバトロス・ビュー,0.0,,0.0,0.0,0.0,,不明,,,0.0
アロンアルフア速効多用途,0.9375,0.24999999999999997,0.0,1.0,1.0,0.27,安定,0.0,1.0,7.0
