商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価
鮭ほぐし飯（和風だしごは,2366.0,7.0,4,1,0.0028455143214819985,99.4371437973204,C,592.0,338.0
パイの実,2370.0,10.0,8,1,0.0028503249965817147,99.43429828299892,C,296.0,237.0
◎紅はるかのおいもチップ,2376.0,12.0,10,1,0.002857541009231289,99.43144795800234,C,238.0,198.0
冷し鶏天タルタルうどん,2396.0,4.0,4,1,0.0028815943847298685,99.4285904169931,C,599.0,599.0
３種チーズのミートソース,2396.0,4.0,3,1,0.0028815943847298685,99.42570882260837,C,799.0,599.0
◎焦がしバターのクロワッ,2420.0,20.0,8,1,0.002910458435328164,99.42282722822364,C,302.0,121.0
ピザサンド　さつまいも,2448.0,8.0,4,1,0.002944133161026176,99.41991676978832,C,612.0,306.0
ラークスーパー５,2455.0,5.0,5,1,0.002952551842450679,99.41697263662729,C,491.0,491.0
コク旨醤油だれの油そば,2495.0,5.0,5,1,0.003000658593447839,99.41402008478484,C,499.0,499.0
甜面醤の旨ジャージャー麺,2495.0,5.0,5,1,0.003000658593447839,99.41101942619139,C,499.0,499.0
ビスコ,2496.0,16.0,13,1,0.003001861262222768,99.40801876759794,C,192.0,156.0
増量特製ダレの炙り焼牛カ,2500.0,4.0,4,1,0.0030066719373224838,99.40501690633572,C,625.0,625.0
フリスクＦＦみかん,2502.0,9.0,9,1,0.0030090772748723417,99.40201023439839,C,278.0,278.0
ＢＩＯ　ブルーベリーミッ,2520.0,15.0,9,2,0.0030307253128210635,99.39900115712352,C,280.0,168.0
ホームパイチビムーホ,2520.0,18.0,12,2,0.0030307253128210635,99.3959704318107,C,210.0,140.0
プロテインバー　チョコ,2520.0,14.0,11,1,0.0030307253128210635,99.39293970649787,C,229.0,180.0
ちいかわ花占いグミ,2530.0,11.0,9,1,0.003042752000570354,99.38990898118504,C,281.0,230.0
ブルーベリーサンド,2535.0,13.0,6,1,0.0030487653444449987,99.38686622918448,C,422.0,195.0
窯出しとろけるプリン,2535.0,13.0,11,1,0.0030487653444449987,99.38381746384003,C,230.0,195.0
スティックのりＰＩＴ,2552.0,11.0,10,3,0.003069210713618791,99.38076869849559,C,255.0,232.0
堅ぶつ旨塩,2560.0,20.0,16,2,0.0030788320638182234,99.37769948778197,C,160.0,128.0
はみでたチキンカツバーガ,2583.0,7.0,4,1,0.0031064934456415906,99.37462065571815,C,646.0,369.0
Ｆレモンクリームのロール,2601.0,17.0,13,1,0.0031281414835903124,99.3715141622725,C,200.0,153.0
ビスコ発酵バター,2652.0,17.0,13,1,0.003189477591111691,99.36525547396778,C,204.0,156.0
ちいかわチャームグミ,2660.0,7.0,1,1,0.0031990989413111224,99.35886689743536,C,2660.0,380.0
大粒ラムネ濃い果実ぶどう,2660.0,20.0,7,2,0.0031990989413111224,99.36206599637667,C,380.0,133.0
◎きんつば,2686.0,17.0,16,1,0.0032303683294592767,99.35566779849405,C,168.0,158.0
ナカミグミもも味,2688.0,16.0,10,2,0.0032327736670091345,99.3524374301646,C,269.0,168.0
０．０１ゼロワン,2700.0,3.0,3,1,0.0032472056923082827,99.34920465649759,C,900.0,900.0
プルームオーラＪブラック,2710.0,1.0,1,1,0.003259232380057572,99.34595745080529,C,2710.0,2710.0
レジ袋２０号バイオマス,2720.0,544.0,92,3,0.0032712590678068624,99.34269821842523,C,30.0,5.0
週　刊　現　代,2730.0,5.0,6,1,0.0032832857555561523,99.33942695935743,C,455.0,546.0
くりーむメロンパン,2760.0,10.0,5,1,0.0033193658188040223,99.33614367360187,C,552.0,276.0
増量麻婆豆腐ごはん,2772.0,6.0,4,1,0.0033337978441031705,99.33282430778306,C,693.0,462.0
サラダラップチキンサルサ,2784.0,8.0,7,1,0.003348229869402318,99.32614348273832,C,398.0,348.0
きつねおむすび,2793.0,19.0,1,3,0.003359053888376679,99.32279525286891,C,2793.0,147.0
焼まろん,2795.0,13.0,10,1,0.003361459225926537,99.31943619898054,C,280.0,215.0
ＨＷ変顔キャンディ,2800.0,7.0,4,1,0.0033674725698011818,99.31607473975461,C,700.0,400.0
バナナカスタードブリュレ,2800.0,8.0,6,1,0.0033674725698011818,99.3127072671848,C,467.0,350.0
◎チョコシュー,2816.0,22.0,18,1,0.0033867152702000457,99.309339794615,C,156.0,128.0
コアラのマーチ練乳ミルク,2832.0,16.0,14,1,0.0034059579705989097,99.3059530793448,C,202.0,177.0
ミンティア瀬戸田レモン,2835.0,27.0,16,2,0.003409565976923697,99.3025471213742,C,177.0,105.0
◎ミニクッキー,2838.0,22.0,18,2,0.0034131739832484833,99.29913755539728,C,158.0,129.0
ライオンコーヒカフェオレ,2848.0,16.0,2,1,0.0034252006709977736,99.29572438141403,C,1424.0,178.0
かむかむレモン,2850.0,19.0,12,1,0.0034276060085476315,99.29229918074303,C,238.0,150.0
チョコチャンクスコーン,2856.0,24.0,17,1,0.0034348220211972056,99.28887157473449,C,168.0,119.0
ダースミルク,2865.0,15.0,7,1,0.0034456460401715663,99.281997120017,C,409.0,191.0
ウェルチ　１房分のぶどう,2880.0,18.0,7,1,0.0034636860717955015,99.27855147397682,C,411.0,160.0
助六寿司,2892.0,6.0,10,1,0.0034781180970946493,99.27508778790502,C,289.0,482.0
専おかず全部乗せ！お弁当,2907.0,9.0,1,1,0.0034961581287185845,99.27160966980793,C,2907.0,323.0
すッパイチュウレモン味,2921.0,23.0,10,1,0.00351299549156759,99.26811351167922,C,292.0,127.0
焙煎ごまドレッシング,2937.0,89.0,51,2,0.003532238191966454,99.26460051618766,C,58.0,33.0
週刊　プレイボーイ,2974.0,5.0,4,1,0.003576736936638827,99.26106827799569,C,744.0,595.0
オニポテスナック,2976.0,12.0,8,1,0.0035791422741886848,99.25749154105905,C,372.0,248.0
コーンのバター醤油パスタ,2982.0,7.0,5,2,0.0035863582868382584,99.25391239878486,C,596.0,426.0
ＳｐｏｒｔｓＧｒａｐｈｉ,2993.0,4.0,4,2,0.0035995876433624775,99.25032604049802,C,748.0,748.0
海老とあさりのスパゲティ,2994.0,6.0,6,1,0.0036007903121374066,99.24672645285466,C,499.0,499.0
台湾風まぜそば,2995.0,5.0,5,1,0.0036019929809123353,99.24312566254252,C,599.0,599.0
今治ＴＨＣグラデーション,3000.0,5.0,6,1,0.0036080063247869807,99.2395236695616,C,500.0,600.0
◎焼たまごカレートースト,3006.0,18.0,5,2,0.0036152223374365544,99.23591566323682,C,601.0,167.0
堅あげポテト鬼旨ブラック,3040.0,16.0,12,1,0.00365611307578414,99.2323004408994,C,253.0,190.0
冷し明太とろろうどん,3048.0,6.0,8,1,0.0036657344259835726,99.22864432782362,C,381.0,508.0
スッパイスッパイマン大作,3058.0,22.0,12,1,0.003677761113732862,99.22497859339764,C,255.0,139.0
ピュレグミＰマスカット,3060.0,17.0,5,1,0.00368016645128272,99.2213008322839,C,612.0,180.0
大きなつくねの醤油パスタ,3060.0,6.0,4,1,0.00368016645128272,99.21762066583261,C,765.0,510.0
野菜生活シークヮーサー,3068.0,26.0,8,1,0.0036897878014821523,99.21394049938132,C,384.0,118.0
塩おむすび,3096.0,24.0,11,1,0.0037234625271801635,99.20652724905267,C,281.0,129.0
ふわしゅわショコラスフレ,3096.0,12.0,6,3,0.0037234625271801635,99.21025071157985,C,516.0,258.0
モッチュＳマスカット,3108.0,21.0,2,3,0.0037378945524793117,99.2028037865255,C,1554.0,148.0
ブーストバイツ,3120.0,13.0,12,1,0.00375232657777846,99.199065891973,C,260.0,240.0
焼ほし芋,3120.0,16.0,11,1,0.00375232657777846,99.19531356539522,C,284.0,195.0
ラッキーＳベリーＳ,3128.0,8.0,6,2,0.0037619479279778914,99.19156123881744,C,521.0,391.0
ハミガキハブラシセット,3136.0,7.0,8,1,0.003771569278177324,99.18779929088946,C,392.0,448.0
ドラキュラへんしんグミ,3150.0,9.0,8,1,0.0037884066410263295,99.18023931497027,C,394.0,350.0
たまごボーロっち２,3150.0,9.0,2,1,0.0037884066410263295,99.17645090832924,C,1575.0,350.0
きのこの山のジクカール,3156.0,12.0,9,2,0.0037956226536759036,99.17266250168822,C,351.0,263.0
