商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価
ミニプラグ用イヤホン,10696.0,7.0,6,1,0.012863745216640514,96.24968428441308,C,1783.0,1528.0
鬼滅の刃フルーツオレ,10707.0,43.0,9,2,0.012876974573164734,96.23682053919644,C,1190.0,249.0
ＵＳＢーＣ用イヤホン黒,10820.0,5.0,5,1,0.013012876144731709,96.1981294820382,C,2164.0,2164.0
ＩＱＯＳｉＯＭブラック,10857.0,3.0,4,1,0.013057374889404083,96.17206163634161,C,2714.0,3619.0
ＩＱＯＳｉＯＢブルー,10857.0,3.0,4,1,0.013057374889404083,96.15900426145221,C,2714.0,3619.0
夏のミルクシュー,11040.0,80.0,17,3,0.01327746327521609,96.11965654714287,C,649.0,138.0
塩キャラメルプリン,11040.0,48.0,10,3,0.01327746327521609,96.10637908386765,C,1104.0,230.0
ＬストライクＢ,11280.0,20.0,18,1,0.013566103781199046,96.05275809653745,C,627.0,564.0
お月見タルト　カスタード,11316.0,41.0,13,2,0.01360939985709649,96.03919199275624,C,870.0,276.0
三ツ矢　特濃アップル,11360.0,71.0,10,2,0.013662317283193365,96.01192027561595,C,1136.0,160.0
ウェルチ　マスカットＳＰ,11360.0,71.0,11,1,0.013662317283193365,96.02558259289914,C,1033.0,160.0
週　刊　プ　ロ　レ　ス,11550.0,20.0,16,1,0.013890824350429876,95.97059657650938,C,722.0,578.0
本搾りライム３５０,11592.0,69.0,18,1,0.013941336438976895,95.95670575215895,C,644.0,168.0
１９６無糖冷凍みかん３５,11592.0,72.0,16,1,0.013941336438976895,95.94276441571998,C,724.0,161.0
炭治郎＆義勇おむ２,11808.0,32.0,12,3,0.014201112894361554,95.87233252425384,C,984.0,369.0
ビッグコミックオリジナル,11853.0,27.0,18,2,0.014255232989233362,95.85813141135948,C,658.0,439.0
キリン晴れ風３５０,11880.0,55.0,11,1,0.014287705046156441,95.84387617837025,C,1080.0,216.0
カフェラッテクリーミーラ,11946.0,66.0,8,2,0.014367081185301757,95.81525266152694,C,1493.0,181.0
冷たい生パスタツナトマト,11976.0,24.0,13,2,0.014403161248549626,95.7864872297682,C,921.0,499.0
海鮮サラダおむすび,12054.0,82.0,7,2,0.014496969412994089,95.77208406851965,C,1722.0,147.0
ごまだれ冷し中華,12188.0,22.0,8,2,0.014658127028834572,95.67010016174322,C,1524.0,554.0
スーパー大麦安曇野わさび,12308.0,68.0,11,1,0.014802447281826052,95.6112704159488,C,1119.0,181.0
増量　天使のチーズケーキ,12420.0,54.0,9,3,0.014937146184618099,95.58159215858987,C,1380.0,230.0
炙り焼辛子明太子おむすび,12550.0,50.0,8,1,0.015093493125358867,95.5366424131269,C,1569.0,251.0
サメジマブルーソーダ味,12638.0,71.0,13,3,0.01519932797755262,95.50640010411253,C,972.0,178.0
蒸鶏とねぎのトマトパスタ,12936.0,28.0,14,1,0.01555772327248146,95.42960850016453,C,924.0,462.0
サンド寿司サーモンチーズ,12948.0,39.0,8,2,0.01557215529778061,95.41405077689205,C,1618.0,332.0
週刊ベースボール,13026.0,23.0,15,2,0.01566596346222507,95.3828439275202,C,868.0,566.0
海苔監修　手巻たまごかけ,13135.0,71.0,12,2,0.01579705435869233,95.36717796405797,C,1095.0,185.0
カンロザストロングソーダ,13200.0,66.0,16,1,0.015875227829062716,95.33555378862123,C,825.0,200.0
トルティーヤ豚生姜ハムチ,13284.0,36.0,13,2,0.01597625200615675,95.28785594500755,C,1022.0,369.0
◎焼きカレーパン３個入,13432.0,73.0,11,1,0.016154246984846243,95.25579279546794,C,1221.0,184.0
サンドおむすび　牛カルビ,13448.0,41.0,7,3,0.016173489685245106,95.2396385484831,C,1921.0,328.0
アップルパンチ３５０,13524.0,84.0,18,2,0.01626489251213971,95.15853056630189,C,751.0,161.0
野菜生活Ｓベリー＆ざくろ,13528.0,76.0,13,2,0.016269703187239425,95.14226567378975,C,1041.0,178.0
氷結無糖スモモ３５０,13608.0,81.0,17,2,0.016365916689233744,95.09328337992444,C,800.0,168.0
クラフトボス　ミルクラテ,13612.0,82.0,5,1,0.01637072736433346,95.0769174632352,C,2722.0,166.0
