商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価,フェイスくくり大分類
◎台湾烏龍茶　６００,242000.0,2200.0,92,1,0.29104584353281643,39.44015744473679,A,2630.0,110.0,215:ドライ飲料
青磯海苔　まぐろたくあん,241604.0,1292.0,36,3,0.2905695866979445,39.73072703143473,A,6711.0,187.0,100:米飯
センティアＦパープル,239554.0,497.0,90,3,0.28810411570934014,40.01883114714407,A,2662.0,482.0,290:たばこ
◎生スコーン６個入,236500.0,1375.0,92,3,0.284431165270707,40.30326231241477,A,2571.0,172.0,145:パン
リポビタンＤ,235176.0,1434.0,92,3,0.282838831812701,40.58610114422748,A,2556.0,164.0,210:医薬品・医薬部外品
リポビタンＤ,235176.0,1434.0,92,3,0.282838831812701,40.58610114422748,A,2556.0,164.0,205:健康サポート飲料
もち麦　新生姜とわかめ,233253.0,1431.0,42,3,0.2805260997585125,40.86662724398599,A,5554.0,163.0,100:米飯
シャキシャキレタスサンド,230472.0,776.0,92,1,0.277181477895435,41.14380872188142,A,2505.0,297.0,110:調理パン
具だくさん！チキン南蛮,230282.0,1042.0,28,3,0.2769529708281985,41.42076169270962,A,8224.0,221.0,100:米飯
ソルティライチ,226896.0,1392.0,90,2,0.2728807343562889,41.69364242706591,A,2521.0,163.0,215:ドライ飲料
テリアイエローメンソール,223872.0,424.0,90,3,0.26924386398090366,41.962886291046814,A,2487.0,528.0,290:たばこ
カルピスウォーター５００,215360.0,1346.0,91,3,0.25900674736870805,42.22189303841552,A,2367.0,160.0,215:ドライ飲料
ＳＰＡＭ　玉子焼き,214718.0,686.0,36,3,0.25823463401520363,42.480127672430726,A,5964.0,313.0,100:米飯
ｉｎゼリーマルチビタミン,213990.0,1019.0,92,1,0.25735909114705535,42.73748676357778,A,2326.0,210.0,205:健康サポート飲料
伊右衛門　６００,213932.0,1354.0,53,3,0.25728933635810947,42.99477609993589,A,4036.0,158.0,215:ドライ飲料
テリアシャインパール,213840.0,405.0,89,2,0.257178690830816,43.2519547907667,A,2403.0,528.0,290:たばこ
セブンスター・ＢＯＸ,213486.0,391.0,90,3,0.2567529460844911,43.50870773685119,A,2372.0,546.0,290:たばこ
◎生コッペパン（たまご）,206720.0,1615.0,92,3,0.24861568915332155,43.75732342600451,A,2247.0,128.0,145:パン
ＭＶブラックＣＭプルーム,204229.0,443.0,85,3,0.24561984123497344,44.00294326723949,A,2403.0,461.0,290:たばこ
クラフトボス　ラテ,203838.0,1282.0,65,3,0.24514959774397616,44.24809286498346,A,3136.0,159.0,215:ドライ飲料
ベコンレタストマトサンド,201843.0,547.0,64,2,0.24275027353799286,44.490843138521456,A,3154.0,369.0,110:調理パン
ＭＶベリーＯＰプルーム,199977.0,435.0,79,3,0.24050609360397532,44.73134923212543,A,2531.0,460.0,290:たばこ
ケントＴメンソール,199709.0,457.0,89,3,0.24018377837229438,44.97153301049772,A,2244.0,437.0,290:たばこ
メビウスＳＬ,198528.0,376.0,85,3,0.23876342654910324,45.21029643704683,A,2336.0,528.0,290:たばこ
即攻元気ゼリー,197472.0,968.0,91,3,0.23749340832277824,45.447789845369606,A,2170.0,204.0,205:健康サポート飲料
テリアバランスドＲ,196944.0,373.0,83,3,0.2368583992096157,45.68464824457922,A,2373.0,528.0,290:たばこ
テリアリビエラパール,195888.0,371.0,87,3,0.23558838098329069,45.92023662556251,A,2252.0,528.0,290:たばこ
テリアスムースレギュラー,195360.0,370.0,83,3,0.23495337187012816,46.155189997432636,A,2354.0,528.0,290:たばこ
ＭＶシャープＣＭプルーム,194913.0,423.0,89,3,0.2344157789277349,46.38960577636037,A,2190.0,461.0,290:たばこ
